pdf_path,tables,Main Goal,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment,Author,Description,Target Gender
./samples/fat-loss/8weekbeginnerfatlossworkout.pdf,"Exercise Sets Reps Rest
Dumbbell Pullover 2 10 45 Sec
Dumbbell Bench Press 2 10 45 Sec
Arnold Press 2 10 45 Sec
Dumbbell Curl 2 10 30 Sec
Overhead Tricep Extension 2 10 30 Sec
Lying Leg Raise 2 10 30 Sec
Exercise Sets Reps Rest
Goblet Squat 2 10 45 Sec
Hip Thrust 2 10 45 Sec
Walking Lunge 2 10, Each Leg 45 Sec
Stiff Leg Deadlift 2 10 30 Sec
Standing Calf Raise 2 10 30 Sec
Oblique Crunch 2 10, Each Side 30 Sec
Exercise Sets Reps Rest
Bent Over Dumbbell Row 2 20 45 Sec
Incline Dumbbell Bench Press 2 20 45 Sec
Dumbbell Reverse Fly 2 20 30 Sec
Cable Curl 2 20 30 Sec
Straight Bar Tricep Extension 2 20 30 Sec
Plank 2 30 Sec 30 Sec
Exercise Sets Reps Rest
Squat Jumps 2 20 45 Sec
Standing Glute Kickback 2 20, Each Leg 45 Sec
Leg Curl 2 20 30 Sec
Leg Extension 2 20 30 Sec
Seated Calf Raise 2 20 30 Sec
Sit-Up 2 20 30 Sec",Lose Fat,Beginner,"8 Weeks
Click here for the full workout!",4 Day,,"Barbell, Bodyweight, Cables, 
Dumbbells, Machines",,"8 WEEK BEGINNER FAT LOSS
WORKOUT",Male & Female
./samples/fat-loss/8weekbeginnerfatlossworkoutforwomen_0.pdf,"Exercise Sets Reps
Incline Dumbbell Press 3 12, 10, 8
Bent-Over Barbell Row 3 12, 10, 8
Smith Machine Shoulder Press 3 12, 10, 8
Alternate Dumbbell Curl 3 12, 10, 8
Lying Triceps Extension 3 12, 10, 8
Lying Leg Raise 3 12, 12, 12
Do 20 - 30 minutes of Zone 2 cardio
Exercise Sets Reps
Goblet Squat 3 12, 10, 8
Stiff Leg Deadlift 3 12, 10, 8
Leg Press 3 12, 10, 8
Walking Lunge 3 12, 10, 8
Seated Calf Raise 3 12, 10, 8
Crunches 3 12, 12, 12
Do 20 - 30 minutes of Zone 2 cardio
Exercise Sets Reps
Wide Grip Lat Pull Down 3 12, 10, 8
Flat Bench Press 3 12, 10, 8
Lateral Raise 3 12, 10, 8
Hammer Dumbbell Curl 3 12, 10, 8
Straight Bar Tricep Extension 3 12, 10, 8
Abdominal Air Bike 3 12, 12, 12
Do 20 - 30 minutes of Zone 2 cardio
Exercise Sets Reps
Squat 3 12, 10, 8
Deadlift 3 12, 10, 8
Dumbbell Step Up 3 12, 10, 8
Abductor Machine 3 12, 10, 8
Adductor Machine 3 12, 10, 8
Seated Calf Raise 3 12, 10, 8
Exercise Ball Crunch 3 12, 12, 12
Do 20 - 30 minutes of Zone 2 cardio",Lose Fat,Beginner,"8 Weeks
Click here for the full workout!",4 Days,,"Barbell, Bodyweight, Cables, 
Dumbbells, Exercise Ball, Machines","Roger “Rock” Lockridge
Workout #1 - Upper Body
Workout
Summary
Workout #2 - Lower Body
Workout #3 - Upper Body
Workout #4 - Lower Body","8 WEEK BEGINNER FAT LOSS
WORKOUT FOR WOMEN",Female
./samples/fat-loss/fatdestroyer_0.pdf,"Day 1
Exercise Sets Reps
Upper A
Incline Bench Press 3 8 - 10
One Arm Dumbbell Row 3 10 - 12
Seated Barbell Press 3 8 - 10
Pull Ups 3 10
Skullcrushers 3 10 - 12
Dumbbell Curl 3 10 - 12
Day 2
Exercise Sets Reps
Lower A
Squats 3 8 - 10
Leg Curl 3 12 - 15
Leg Extension 3 12 - 15
Leg Press Calf Raise 3 15 - 20
Plank 3 60 sec
Twisting Hanging Knee Raise 3 20
Day 4
Exercise Sets Reps
Upper B
Dumbbell Bench Press 3 10
Barbell Row 3 8 - 10
Dumbbell Lateral Raise 3 12 - 15
Lat Pull Down 3 10 - 12
Cable Tricep Extensions 3 10 - 12
EZ Bar Preacher Curl 3 10 - 12
Day 5
Exercise Sets Reps
Lower B
Leg Press 3 15 - 20
Stiff Leg Deadlift 3 8 - 10
Walking Dumbbell Lunge 3 10
Seated Calf Raise 3 15 - 20
Cable Crunch 3 20
Russian Twist 3 20",Build Muscle,Beginner,12 Weeks,4 Days,30-45 Mins,"Barbell, Bodyweight,
Cables, Dumbbells, Kettle Bells",Max Riley,"12 WEEK FAT DESTROYER: COMPLETE FAT 
LOSS WORKOUT & DIET PROGRAM
This is a complete 12 week program to help 
you get ripped. Feature includes detailed diet plan and cardio schedule, along with a 4 day upper/lower muscle building split.
Link to Workout : https://www.muscleandstrength.com/
workouts/12-week-fat-destroyer",
./samples/fat-loss/springshred.pdf,"Day 1: Chest & Abs
Exercise Warm Up Sets Work Sets Intensity Method
Incline Barbell Bench Press 2 x 8 - 10 3 x 10 2 - 3 Forced Reps
Dumbbell Fly 1 x 10 3 x 10 - 12 Drop Sets
Weighted Dip 1 x 10 3 x 10 - 12 Rest - Pause
Pec Dec 1 x 10 3 x 12 Holds on Last Rep
Superset
Cable Crossover - 3 x 12 Superset
Pushup - 3 x 12 -
Hanging Leg Raise - 3 x 12 Holds on Last Rep
Superset
Decline Situp - 3 x 15 Superset
Side Bends - 3 x 15 -
Plank - 3 x Failure -
Rope Crunch - 3 x 15 Drop Sets
Day 2: Back
Exercise Warm Up Sets Work Sets Intensity Method
Neutral Grip Pull Ups 2 x 8 - 10 3 x Failure Rest - Pause
Bent Over Barbell Row 1 x 10 3 x 10 - 12 Holds on Last Rep
Superset
Reverse Grip Pulldown 1 x 10 3 x 8 - 10 Superset
Straight Arm Pulldown 1 x 10 3 x 8 - 10 -
Wide Grip Seated Row 1 x 10 3 x 12 2 - 3 Forced Reps
Rack Deadlift 1 x 10 3 x 15 Drop Sets
Day 3: Shoulders
Exercise Warm Up Sets Work Sets Intensity Method
Superset
Upright Row 1 x 10 3 x 10 Superset
Seated Lateral Raise 1 x 10 3 x 10 -
Seated Smith Machine 
Shoulder Press1 x 10 3 x 10 - 12 Drop Sets
Front Plate Raise 1 x 10 3 x 12 2 - 3 Forced Reps
High Rope Face Pull 1 x 10 3 x 12 Rest - Pause
Day 4: Arms
Exercise Warm Up Sets Work Sets Intensity Method
EZ Bar Preacher Curl 1 x 10 3 x 10 - 12 2 - 3 Forced Reps
Close Grip Bench Press 1 x 10 3 x 10 - 12 Rest - Pause
Hammer Curl 1 x 10 3 x 12 Drop Sets
Overhead Rope Extension 1 x 10 3 x 12 Holds on Last Rep
Superset
Standing Cable Curl 1 x 10 3 x 15 Superset
Reverse Grip Pushdown 1 x 10 3 x 15 -
Day 5: Legs
Exercise Warm Up Sets Work Sets Intensity Method
Squat 1 x 10 3 x 8 - 10 Rest - Pause
Leg Press 1 x 15 3 x 15 Drop Sets
Single Leg Extension 1 x 15 3 x 15 Holds on Last Rep
Superset
Stiff-Legged Deadlift 1 x 15 3 x 15 Superset
Seated Leg Curl 1 x 15 3 x 15 -
Lying Leg Curl 1 x 15 3 x 15 Forced Reps
Superset
Standing Calf Raise 1 x 20 3 x 20 Superset
Seated Calf Raise 1 x 20 3 x 20 -
Cardio
HIIT cardio can be performed 3-4 times a week or as you see fit based on your individual goals.
If possible, perform your cardio separately. If you must do it when training, do it post-weight 
training when glycogen storages are depleted.
20 Mins HIIT:
 
•2 minute warm-up
•30 seconds all-out effort followed by 90 seconds low-moderate effort.•Repeat for a total of 8 rounds.•2 minute cool down.",Lose Fat,Advanced,8 Weeks,5 Days,45-60 Mins,"Barbell, Bodyweight,
Cables, Dumbbells, EZ Bar, 
Machines",Roger “Rock” Lockridge,"SPRING SHRED: 8 WEEK FAT LOSS 
WORKOUT PLAN
The time for mass has passed and now you 
can sculpt your shredded masterpiece. This 5 day program will help you bring out your best just in time for summer.
Link to Workout : https://www.muscleandstrength.com/
workouts/8-week-spring-shred-program",
./samples/full-body/2weekworkoutplantojumpstartyourreturntothegym.pdf,"Exercise Sets Reps Rest
Barbell  or  Dumbbell Deadlift 2 - 3 8 - 10 1 - 2 min
Leg Press 2 - 3 8 - 10 1 - 2 min
Leg Curl 2 - 3 8 - 10 1 - 2 min
Dumbbell Bench Press 2 - 3 8 - 10 1 - 2 min
Wide Grip Lat Pulldown 2 - 3 8 - 10 1 - 2 min
Dumbbell  or  Machine Lateral Raise 2 - 3 8 - 10 1 - 2 min
Incline Dumbbell Curl 2 - 3 8 - 10 1 - 2 min
Straight Bar Tricep Extension 2 - 3 8 - 10 1 - 2 min
Crunch 2 - 3 8 - 10 1 - 2 min
Lying Leg Raise 2 - 3 8 - 10 1 - 2 min
Exercise Sets Reps Rest
Dumbbell Bench Press 2 - 3 8 - 10 1 - 2 min
Wide Grip Lat Pulldown 2 - 3 8 - 10 1 - 2 min
Dumbbell  or  Machine Lateral Raise 2 - 3 8 - 10 1 - 2 min
Incline Dumbbell Curl 2 - 3 8 - 10 1 - 2 min
Straight Bar Tricep Extension 2 - 3 8 - 10 1 - 2 min
Barbell  or  Dumbbell Deadlift 2 - 3 8 - 10 1 - 2 min
Leg Press 2 - 3 8 - 10 1 - 2 min
Leg Curl 2 - 3 8 - 10 1 - 2 min
Crunch 2 - 3 8 - 10 1 - 2 min
Lying Leg Raise 2 - 3 8 - 10 1 - 2 min
Exercise Sets Reps Rest
Incline Barbell Bench Press 2 - 3 8 - 10 1 - 2 min
Low Incline Dumbbell Flys 2 - 3 8 - 10 1 - 2 min
Bent-Over Barbell Row 2 - 3 8 - 10 1 - 2 min
Reverse Grip Lat Pulldown 2 - 3 8 - 10 1 - 2 min
Arnold Press 2 - 3 8 - 10 1 - 2 min
Single Arm Lateral Raise 2 - 3 8 - 10 1 - 2 min
Concentration Curl 2 - 3 8 - 10 1 - 2 min
Lying Tricep Extension 2 - 3 8 - 10 1 - 2 min
Weighted Crunch 2 - 3 8 - 10 1 - 2 min
Hanging Leg Raise 2 - 3 8 - 10 1 - 2 min
Exercise Sets Reps Rest
Barbell   or  Dumbbell Deadlift 2 - 3 8 - 10 1 - 2 min
Walking Lunge 2 - 3 8 - 10 1 - 2 min
Barbell Squat 2 - 3 8 - 10 1 - 2 min
Single-Leg Press 2 - 3 8 - 10 1 - 2 min
Seated Calf Raise 2 - 3 8 - 10 1 - 2 min
Standing Calf Raise 2 - 3 8 - 10 1 - 2 min
Standing Side Bend 2 - 3 8 - 10 1 - 2 min
V-Ups 2 - 3 8 - 10 1 - 2 min
Reverse Crunch 2 - 3 8 - 10 1 - 2 min
Plank 2 - 3 30 - 60 sec 1 - 2 min",General Fitness,Beginner,2 Weeks,4 Day,60 Mins,"Barbell, Bodyweight, 
Cables, Dumbbells, Machines",,"2-WEEK WORKOUT PLAN TO JUMPSTART 
YOUR RETURN TO THE GYM
After an extended break from the weight 
room, these workouts can help you get 
reacquainted with the gym so you can start 
rebuilding your path to success!
Link to Workout : https://www.muscleandstrength.com/
workouts/recommit-to-fit-2-week-plan",Male & Female
./samples/full-body/3dayfullbodyplantfitnessworkout.pdf,"Planet Fitness Full Body Workout Day 1
Exercise Sets Reps
1. Goblet Squat 4 8 - 12
2. Lying Leg Curl 3 10 - 15
3. Standing Calf Raise 2 15 - 20
4. Dumbbell Row 4 8 - 12
5. Lat Pull Down 3 10 - 15
6. Incline Dumbbell Bench Press 4 8 - 12
7. Lateral Raise 3 10 - 15
Planet Fitness Full Body Workout Day 2
Exercise Sets Reps
1. Dumbbell Stiff Leg Deadlift 4 8 - 12
2. Leg Extension 3 10 - 15
3. Assisted Pull Up Machine 4 8 - 12
4. Seated Cable Row 3 10 - 15
5. Seated Dumbbell Press 4 8 - 12
6. Dumbbell Bench Press 3 10 - 15
7. Skullcusher 3 8 - 12
8. Dumbbell Curl 3 8 - 12
Planet Fitness Full Body Workout Day 3
Exercise Sets Reps
1. Leg Press 4 8 - 12
2. Walking Lung 3 10 - 15 Each
3. Standing Calf Raise 2 15 - 20
4. Smith Machine Row 4 8 - 12
5. Cable Face Pull 3 10 - 15
6. Push Up 3 10 - 15
7. Close Grip Push Up 3 8 - 12
8. Cable Curl 3 8 - 12",Build Muscle,Beginner,8 Weeks,3 Days,45 - 70 Mins,"Bodyweight, Cables, 
Dumbbells, Machines",Josh England,"3 DAY FULL BODY
PLANET FITNESS WORKOUT
In this edition of a series of Planet Fitness 
appropriate workouts, we provide a 3 day 
full body workout one could do with the 
equipment at Planet Fitness.  
Link to Workout : https://www.muscleandstrength.com/
workouts/3-day-full-body-planet-fitness-workout",Male & Female
./samples/full-body/thebestfullbodyworkoutroutineforwomen_1.pdf,"Women's Full Body Workout 1
Exercise Sets Reps
Squat 4 6 - 8
Leg Press 3 10 - 15
Rear Foot Elevated Split Squat 3 8 - 12 Each
Overhead Press 4 8
One Arm Dumbbell Row 4 6 - 8
Lat Pull Down 3 8 - 12
Optional Additional Exercises 1
Exercise Sets Reps
Hyperextension 3 15 - 20
Single Leg Glute Bridge 3 10 - 15 Each
Mini Band Hip Thruster 3 15
Women's Full Body Workout 2
Exercise Sets Reps
Goblet Squat 3 12 - 15
Dumbbell Stiff Legged Deadlift 3 10 - 12
Lateral Lunge 3 12 Each
Dumbbell Bench Press 3 8 - 10
(Assisted) Pull Up 3 Max
Inverted Row 3 Max
Optional Additional Exercises 2 
Exercise Sets Reps
Dumbbell Curl 3 12
Rope Pressdown 3 12
EZ Bar Curl 3 12
EZ Bar Overhead Extension 3 12
Women's Full Body Workout 3
Exercise Sets Reps
Sumo Deadlift 4 6 - 8
Hip Thrust 4 6 - 8
Barbell Row 4 6 - 8
Seated Dumbbell Press 3 8 - 12
Lateral Raise 3 10 - 12
Push Up 3 Max
Optional Additional Exercises 3
Exercise Sets Reps
Plank 3 Max Time
Exercise Ball Crunch 3 20
Hanging Leg Raise 3 12 - 15
Women's Full Body Workout 4
Exercise Sets Reps
Plie Squat 3 12 - 15
Dumbbell Rear Lunge 3 12 - 15
Landmine Romanian Deadlift 3 12 - 15
T-Bar Row 4 8 - 12
Incline Dumbbell Bench Press 3 12 - 15
Cable Face Pull 3 15 - 20
Optional Additional Exercises 4
Exercise Sets Reps
Fog Pumps 3 20 - 25
Glute Kick Back 3 15 Each
Adduction Machine (or Banded) 3 12
Abduction  Machine (or Banded) 3 12",Lose Fat,Beginner,10 Weeks,4 Days,60 - 90 Mins,"Bands, Barbell, 
Bodyweight, Cables, Dumbbells, 
EZ Bar, Exercise Ball, Machines",M&S Team,"THE BEST FULL BODY WORKOUT
ROUTINE FOR WOMEN
Get in the best shape of your life over the 
course of the next 12 weeks by using the best 
full body workout routine for women! Read on 
and learn more!
Link to Workout : https://www.muscleandstrength.com/
workouts/best-full-body-workout-routine-for-women",Female
./samples/full-body/totalpackage.pdf,"Day 1
Exercise Sets Reps
Squat 5 5
Dumbbell Bench 4 10
Dumbbell Row 4 10
Seated Dumbbell Press 4 10
Lunge 4 10
Dumbbell Curl 3 10
Standing Barbell Tricep Extension 3 10
Calf Raise 3 12
Plank 5 20 secs
Day 2
Exercise Sets Reps
Bench Press 5 5
Machine Pec Deck 3 12
Leg Extension 4 10
Leg Curl 4 10
Pullup 4 10
Seated Lateral Raise 4 10
Dumbbell Hammer Curls 3 10
Rope Extension 3 10
Plank 5 20 secs
Day 3
Exercise Sets Reps
Deadlift 5 5
Incline Dumbbell Press 4 10
Lateral Raise 4 10
Pulldown 4 10
Leg Press 4 10
EZ Bar Curl 3 10
Skullcrushers 3 10
Dumbbell Shrugs 3 12
Plank 5 20 secs",Build Muscle,Intermediate,8 Weeks,3 Days,75-90 Mins,"Barbell, Bodyweight, 
Cables, Dumbbells",Josh England,"Can’t seem to train for hypertrophy without 
sacrificing strength or vice versa? Check out this full body workout split that helps you train for both!
Link to Workout : https://www.muscleandstrength.com/
workouts/total-package-workoutTHE TOTAL PACKAGE WORKOUT",
./samples/home/15minutecoreconditioningworkoutyoucandoanywhere.pdf,"Exercise Sets Reps Rest
Sit Up 2 - 3 15 None
Alternate Straight Leg Lower 2 - 3 15 Each None
Side Plank 2 - 3 15 Each None
Plank to Hip Raise 2 - 3 15 Each None
Stomach Vacuum 2 - 3 5 30 Sec",General Fitness,Beginner,"8 Weeks
Click here for the full workout!",3 Days,,Bodyweight,"Roger “Rock” Lockridge
15-Minute Core Conditioning Workout
Workout
Summary","15-MINUTE CORE CONDITIONING 
WORKOUT YOU CAN DO ANYWHERE",Male & Female
./samples/home/3dayfullbodybeginnerkettlebellworkout.pdf,"Full Body Kettlebell Workout 1
Exercise Sets Reps
Kettlebell Squat 3 8
Kettlebell Swing 3 8
Kettlebell Row 3 8
Kettlebell Overhead Press 3 8
Turkish Get Up 3 6 Each
Full Body Kettlebell Workout 2
Exercise Sets Reps
Kettlebell Romanian Deadlift 3 8
Kettlebell Split Lunge 3 8 Each
Kettlebell Snatch 3 6
Kettlebell Row 3 8
    One Arm Kettlebell Floor Press 3 8 Each
Full Body Kettlebell Workout 3
Exercise Sets Reps
Kettlebell Sumo Deadlift 3 8
Kettlebell Lateral Lunge 3 8 Each
Kettlebell Clean 3 6
Kettlebell Upright Row 3 8
Kettlebell Angled Press 3 8",Build Muscle,Beginner,4 Weeks,3 Day,20-45 Mins,Kettle Bells,Josh England,"3 DAY FULL BODY BEGINNER 
KETTLEBELL WORKOUT
Kettlebell training promotes functionality. Full 
body training is efficient. And pairing them 
both together is an excellent way to maximize 
your workouts!
Link to Workout : https://www.muscleandstrength.com/
workouts/3-day-full-body-kettlebell-workout",Male & Female
./samples/home/4dayathomeglutebuildingworkout.pdf,"Exercise Sets Reps
Bent Over Dumbbell Row 2 - 3 10 - 12
Dumbbell Floor Press 2 - 3 10 - 12
Band Pull Apart 2 - 3 10 - 12
Lateral Raise 2 - 3 10 - 12
Standing Dumbbell Curl 2 - 3 10 - 12
Close Grip Push Up 2 - 3 10 - 12*
Ab Crunch 2 - 3 15 - 20
Exercise Sets Reps
Banded Good Morning 2 - 3 15 - 20
Kettlebell Swings 2 - 3 15 - 20
Dumbbell Goblet Squat 2 - 3 15 - 20
Dumbbell or Bodyweight Curtsy Lunge 2 - 3 10 - 12 Each Leg
Dumbbell or Banded Glute Bridge 2 - 3 15 - 20
Standing Calf Raise 2 - 3 10 - 12
Lateral Band Walk 2 - 3 10 - 12 Each Leg
Exercise Sets Reps
Dumbbell Shoulder Press 2 - 3 10 - 12
One Arm Dumbbell Row 2 - 3 10 - 12 Each Arm
Alternating Standing Arnold Press 2 - 3 10 - 12 Each Arm
Dumbbell Overhead Tricep Extension 2 - 3 10 - 12
Dumbbell Rear Delt Fly 2 - 3 10 - 12 Each Arm
Hammer Curl 2 - 3 10 - 12
Lying Leg Raise 2 - 3 15 - 20
Exercise Sets Reps
Dumbbell Glute Bridge 2 - 3 15 - 20
Dumbbell Split Squat 2 - 3 15 - 20
Plie Squat 2 - 3 15 - 20
Dumbbell Stiff Leg Deadlift 2 - 3 15 - 20
Kettlebell Romanian Deadlift 2 - 3 15 - 20
Banded Glute Bridge 2 - 3 15 - 20*",Build Muscle,Beginner,"8 Weeks
Click here for the full workout!",4 Day,,"Bands, Bodyweight, Dumb -
bells, Kettle Bells",,"4-DAY AT-HOME GLUTE
BUILDING WORKOUT",Male & Female
./samples/home/bandworkout.pdf,"Day 1: Push
Exercise Sets/Reps Tempo Rests
Standing Band Shoulder Press 3xAMRAP (0-2RIR) 2-0-1-1 30-45s
Band Push Ups 3xAMRAP (0-2RIR) 3-0-1-1 30-45s
Single Arm Band Standing Flys 3xAMRAP (0-2RIR) 2-0-1-1 30-45s
Band Lateral Raise 3xAMRAP (0-2RIR) 2-0-1-1 30-45s
Triceps Pushdown 3xAMRAP (0-2RIR) 2-0-1-1 30-45s
Band Pallof Press 3xAMRAP (0-2RIR) 2-0-1-5 30-45s
Day 2: Pull
Exercise Sets/Reps Tempo Rests
Kneeling Band Lat Pulldowns 3xAMRAP (0-2RIR) 3-0-1-1 30-45s
Seated Neutral Grip Band Rows 3xAMRAP (0-2RIR) 2-0-1-2 30-45s
Band Moto Rows 3xAMRAP (0-2RIR) 3-1-1-1 30-45s
Band Upright Rows 3xAMRAP (0-2RIR) 2-0-1-2 30-45s
Band Hammer Curls 3xAMRAP (0-2RIR) 2-0-1-2 30-45s
Band Pull-Aparts 3xAMRAP (0-2RIR) 2-0-1-2 30-45s
Day 3: Legs
Exercise Sets/Reps Tempo Rests
Bulgarian Split Squats 3xAMRAP (0-2RIR) 2-0-1-1 30-45s
Band Assisted Nordic Curls 3xAMRAP (0-2RIR) 4-0-1-0 30-45s
Heel Elevated One & A Quarter Band 
Squats*3xAMRAP (0-2RIR) 2-0-1-1 30-45s
Lying Leg Curls 3xAMRAP (0-2RIR) 2-0-1-3 30-45s
Terminal Knee Extension 3xAMRAP (0-2RIR) 1-0-1-2 30-45s
Band Goodmornings 3xAMRAP (0-2RIR) 2-0-1-1 30-45s
* One rep = go all the way down, up a quarter, back down then all the way up",Build Muscle,Split,4 Weeks,3 Days,30 - 45 Mins,"Barbell, Bodyweight",Tom MacCormick,"BAND ONLY MUSCLE BUILDING
WORKOUT
This effective, evidence-based home band 
workout incorporates the basic principles of 
metabolic stress training in order to maximize 
your workouts with minimal to no gym 
equipment.
Link to Workout : https://www.muscleandstrength.com/
workouts/george-hackenschmidt-inspired-workout",Male & Female
./samples/legs/bootyburner.pdf,"The Booty Burner Workout
Exercise Sets Reps
Superset
Single Leg Deadlift 3 10
Goblet Squat 3 10
Superset
Hyperextension 3 15
Reverse Hack Squat 3 12
Superset
Cable Glute Kickback 3 10 Per Leg
Stiff Legged Deadlift 3 15
Superset
Bodyweight Hip Thrust 3 10
Single Leg Bodyweight Hip Thrust 3 5 Per Leg
The only rest in between exercises is the time it takes to get from one machine to the next. Rest 30 - 90 Secs 
between Supersets. This workout can be performed 1-2 times a week. For the best results, incorporate it into a complete workout routine.",Build Muscle,Intermediate,8 Weeks,1 Days,45-60 Mins,"Bodyweight, Cables, 
Dumbbells, Machines",Team Muscle & Strength,"BOOTY BURNER: COURTNEY KING’S 
FULL GLUTE WORKOUT
Team BPI athlete Courtney King presents her 
Booty Burner complete glute workout plan. This program uses supersets to grow and strengthen your glutes!
Link to Workout : https://www.muscleandstrength.com/
workouts/booty-burner-courtney-king-full-glute-workout",
./samples/legs/buttbuilder.pdf,"The Butt Builder
Exercise Sets Reps
Superset
Squat 10 10
Leg Curls 10 10
Reverse Barbell Lunges 4 8 - 10
Dumbbell Step Ups 3 12
Leg Extensions 3 Failure
Rest for 60 - 120 Secs.",Build Muscle,Beginner,6 Weeks,1 Day,45-60 Mins,"Barbell, Dumbbells, 
Machines",Julie Michaelson,"Women - who doesn’t want a firm and toned 
butt! Julie Michaelson tells you how to train for the perfect back side.
Link to Workout : https://www.muscleandstrength.com/
workouts/the-butt-builder.htmlTHE BUTT BUILDER",
./samples/legs/rp-21glutebuilding.pdf,"RP-21 Glute Workout
Exercise Sets Reps
Dynamic Warm Up - 5 Mins
Mobility Work - 5 Mins
Deadlift 7 3
Superset
Barbell Hip Thrust 6 5
Romanian Deadlift 6 5
Seated Calf Raise 6 12
 
Notes
•Get your Deadlift warmed up properly before selecting your opening weight.
•Select a relatively heavy weight for your Barbell Hip Thrust and RDL.•Rest 1 Min in between Deadlift sets.•Rest 30-45 Secs between the Barbell Hip Thrust and the RDL.•Rest 90-120 Secs between sets.•Rest 30 Secs between Calf Raise sets.",Build Muscle,Intermediate,4 Weeks,1 Day,45-60 Mins,"Barbell, Machines",Eric Brown,"This glute focused workout uses the RP-21 
method to build a posterior that is both aesthetic and functional. Learn more about how to add it to your program!
Link to Workout : https://www.muscleandstrength.com/
workouts/rp-21-glute-workout-programRP-21 GLUTE BUILDING WORKOUT PROGRAM",
./samples/legs/wheelsworkout8weekprogramtobuildyourlegs.pdf,"Leg Day 1: Hamstring Emphasis 
Exercise Sets Reps
Single Leg Curl 4 10 Each
Stiff-Legged Deadlift 3 10 , 8 , 6
Banded Good Mornings 3 12
A1. Adductor Machine 3 12
A2. Abductor Machine 3 12
Leg Press 3 12
Goblet Squat 3 12
*Rest for 90 seconds between sets
Leg Day 2: Quadriceps Emphasis 
Exercise Sets Reps
Single Leg Extension 4 10 Each
Front Squat 4 10 , 8 , 6 , 6
Hack Squat 3 12
Barbell Hip Thrust 3 12
Lying Leg Curl 3 15
*Rest for 90 seconds between sets",Build Muscle,Beginner,8 Weeks,1 Day,45 - 60 Mins,"Bands, Barbell, 
Dumbbells, Machines",Roger “Rock” Lockridge,"WHEELS WORKOUT: 8 WEEK
PROGRAM TO BUILD YOUR LEGS
If you want to have a truly aesthetic physique, 
you’re going to need a good looking set of 
wheels. This 8 week program will help you 
accomplish that. 
Link to Workout : https://www.muscleandstrength.com/
workouts/8-week-wheels-workout",Male & Female
