query_0,query_half,query_1
"""As a beginner female, I'm looking for a comprehensive full-body workout routine to help me effectively lose fat and get into the best shape of my life. I can commit to 4 days a week, with sessions lasting 60-90 minutes, and have access to a well-equipped gym with various machines, free weights, and bands.""","As a beginner female, my main goal is to lose fat and significantly improve my overall fitness. I'm seeking a structured 10-week program that I can commit to 4 days a week for 60-90 minutes, ideally utilizing a well-equipped gym with various machines and free weights.","""As a beginner female, I'm looking for a comprehensive full-body workout program to help me lose fat and get into the best shape of my life. I can commit to 4 days a week, with each session lasting between 60-90 minutes, and have access to a gym with a wide range of equipment. I'm hoping for a structured plan that I can follow for about 10-12 weeks."""
"""I'm an intermediate lifter who wants to build significant muscle and improve strength without sacrificing one for the other. I can commit to 3 days a week, with each session lasting 75-90 minutes, and have access to a fully equipped gym. I'm looking for an 8-week program that effectively balances hypertrophy and strength training.""","""As an intermediate lifter, I'm seeking an 8-week program to build muscle and finally balance both strength and hypertrophy, as I often feel I sacrifice one for the other. I can commit to 3 days a week, with each session lasting 75-90 minutes, and have access to a well-equipped gym with barbells, dumbbells, and cables.""","""As an intermediate lifter, I'm looking for an 8-week program that effectively helps me build both muscle and strength without sacrificing one for the other. I can commit to three sessions per week, each lasting about 75-90 minutes, and have access to a full gym with barbells, dumbbells, and cables."""
"""I'm a complete beginner looking to improve my general fitness and build core strength, but I have limited time and no access to a gym. I need a structured 8-week bodyweight program that I can do at home, ideally with short 15-minute sessions just 3 days a week.""","""I'm a complete beginner looking to improve my general fitness and strengthen my core with a structured plan. I need a bodyweight program that I can do anywhere, ideally in about 15 minutes, three days a week for the next eight weeks.""","""As a beginner, I'm looking for a simple 8-week program to kickstart my general fitness and specifically strengthen my core. I need short 15-minute workouts I can do at home with no equipment, about three days a week."""
"""I'm a complete beginner looking to build muscle and get stronger, but I have limited time and can only commit to 3 days a week for 20-45 minutes per session. I'm specifically looking for an efficient, full-body program I can do at home using just kettlebells, ideally for about a month to kickstart my fitness journey.""","""I'm a complete beginner looking to build some muscle and improve my overall functionality within the next month. I have access to kettlebells and can commit to 3 full-body workouts per week, each lasting 20-45 minutes.""","""I'm a complete beginner looking to start building muscle and improve my overall fitness, ideally with a program that focuses on functional strength. I need a manageable 3-day-a-week workout that's around 20-45 minutes per session, can be done with just kettlebells, and runs for about four weeks to kickstart my journey."""
"""I'm a beginner looking for an effective 8-week program to build glute muscle. I need an at-home workout I can do 4 days a week, using equipment like bands, dumbbells, and kettlebells.""","""As a complete beginner, I'm looking for an 8-week at-home program to specifically build glute muscle. I have access to bands, dumbbells, and kettlebells, and can commit to training 4 days a week.""","""I'm a complete beginner aiming to build muscle, specifically focusing on glutes, over the next eight weeks. I need an at-home program I can do four days a week, utilizing my resistance bands, dumbbells, kettlebells, and bodyweight."""
"""I'm looking for a 4-week muscle-building program, ideally a split routine, that I can do at home. I only have resistance bands and can commit to 3 days a week for about 30-45 minutes per session.""","""I'm a busy individual looking for an effective 4-week program to build muscle using only resistance bands at home. I can commit to 3 days a week, with each workout lasting 30-45 minutes, and need something suitable for both men and women.""","""I'm looking for an efficient, 4-week program to build muscle that I can do primarily at home with resistance bands and bodyweight, as I have limited gym access. My schedule allows for about 3 workouts per week, lasting 30-45 minutes each."""
"""I'm an intermediate lifter aiming to build and strengthen my glutes, and I'm looking for an effective 8-week program. I can commit to one dedicated 45-60 minute session per week for this, and I have access to a gym with bodyweight, cables, dumbbells, and machines.""","""I'm an intermediate lifter looking for an 8-week program to significantly build and strengthen my glutes. I can dedicate one focused session per week, lasting 45-60 minutes, and have access to a gym with bodyweight, cables, dumbbells, and machines, specifically interested in a program that utilizes supersets.""","""I'm an intermediate exerciser looking for an 8-week program specifically to build and strengthen my glutes, ideally using supersets. I can dedicate one focused 45-60 minute gym session per week, with access to bodyweight, cable, dumbbell, and machine equipment."""
"""As a beginner woman, I'm looking for a focused 6-week program to build a firmer, more toned butt. My main constraint is time, as I can only commit to one gym session per week, lasting 45-60 minutes. I have access to a gym with barbells, dumbbells, and machines.""","""I'm a beginner woman eager to build muscle and specifically tone my glutes. I can only commit one day a week for about 45-60 minutes, and I have access to a gym with barbells, dumbbells, and machines.""","""I'm a beginner looking to build muscle and achieve a firmer, toned butt, but I have extremely limited time. I can only commit to one workout day per week for 45-60 minutes, though I do have access to a gym with barbells, dumbbells, and machines."""
"""As an intermediate lifter, I'm looking for an efficient 4-week program to specifically build glute muscle for both aesthetics and functional strength. My main constraint is time, as I can only commit to one workout day per week for 45-60 minutes, and I need a plan that utilizes barbells and machines.""","""I'm an intermediate lifter focused on building significant glute muscle for both aesthetic and functional improvements. I need a 4-week program that fits into my busy schedule, allowing only one dedicated workout day per week for 45-60 minutes. I have access to a gym with barbells and machines, and I'm interested in an effective method like RP-21.""","""I'm an intermediate lifter looking for an efficient way to build significant glute muscle for both aesthetics and function. My main constraint is time, as I can only commit to one 45-60 minute workout per week for the next month, though I have access to barbells and machines. I need a focused program that maximizes results within these limitations."""
"""I'm a beginner who really wants to build some muscle and get stronger legs, as they're currently a weak point for me. My main constraint is time; I can only commit to one gym session per week for about 45-60 minutes. I have access to a well-equipped gym with barbells, dumbbells, machines, and bands.""","""I'm a complete beginner looking to build stronger, more aesthetic legs, but my schedule only allows for one 45-60 minute workout session per week. I have access to a gym with barbells, dumbbells, machines, and bands, and I'm ready for an 8-week program to help me achieve this goal.""","""I'm a complete beginner looking to seriously build my leg muscles over the next 8 weeks. I can only commit to one day a week for about 45-60 minutes, but I have full access to a gym with barbells, dumbbells, machines, and resistance bands."""
"""As an intermediate male lifter, I'm seeking a comprehensive 10-week program to build significant muscle and strength. I have access to a well-equipped gym and can commit to 5 days a week, with each session lasting 60-90 minutes, ideally with a split that combines dedicated strength and hypertrophy training.""","I'm an intermediate male lifter aiming to significantly build muscle and strength over the next 10 weeks. I have full gym access and can commit to 5 days a week, with each workout lasting 60-90 minutes, ideally following a split that combines both strength and hypertrophy.","""As an intermediate male lifter, I'm looking for a comprehensive 10-week program to seriously build muscle and strength. I can commit to training 5 days a week for 60-90 minutes per session, and have full access to a well-equipped gym with all necessary equipment."""
"""I'm a complete beginner who wants to start building muscle, but I have very limited time and can only work out at home. I need a straightforward program that uses just dumbbells, ideally for about 25-30 minutes, three days a week, to help me see progress over the next eight weeks.""","""I'm a complete beginner looking to build muscle and need a straightforward program I can do at home. I only have dumbbells available and can commit to about 25-30 minutes, three days a week, for an 8-week period.""","I'm a complete beginner looking for an effective program to build muscle over the next 8 weeks. I only have dumbbells available and need workouts that are about 25-30 minutes long, three days a week, so I can easily do them at home."
"""As an intermediate lifter, I'm looking for a structured 12-week program to build lean muscle mass. I can commit to 5 days a week for 45-60 minutes per session, but I need a plan that primarily uses dumbbells and bodyweight exercises since I train at home.""","""I'm an intermediate lifter aiming to build significant lean muscle over the next 12 weeks. I need a structured program I can complete at home or while traveling, utilizing only dumbbells for 5 sessions a week, each lasting 45-60 minutes.""","""As an intermediate lifter, I'm looking for a structured 12-week program to build lean muscle mass. I need a plan I can consistently follow 5 days a week, with sessions lasting 45-60 minutes, using only dumbbells and bodyweight since I primarily train at home."""
"I'm a beginner looking for a structured 10-week program to build significant muscle. I can commit to 4 gym sessions per week, each lasting 45-60 minutes, and have access to a full range of equipment including barbells, dumbbells, and machines. I'm hoping for a balanced split that incorporates both heavy compound lifts and targeted machine work.","""I'm a beginner looking for a structured 10-week program to effectively build muscle. I can commit to 4 gym sessions per week, each lasting about 45-60 minutes, and have access to a full range of equipment including barbells, dumbbells, and machines.""","""I'm a beginner looking to seriously build muscle over the next 10 weeks. I can commit to training 4 days a week for about 45-60 minutes per session, and need a program that utilizes a variety of gym equipment like barbells, machines, and cables."""
"""As an intermediate lifter, I'm looking for an intense, short-term program to pack on serious muscle, specifically targeting my shoulders and traps for that 'coconut' look. I can only commit one day a week for 30-45 minutes over the next three weeks, but I have access to a full gym and want a program that incorporates advanced techniques like drop sets and supersets.""","As an intermediate lifter, I'm looking to pack on serious muscle size, especially in my shoulders, within a three-week program. I have limited time, only able to commit to one intense 30-45 minute session per week, but I have full gym access and want to incorporate shock techniques like drop sets and supersets.","""I'm an intermediate lifter with limited gym time, only able to commit to one 30-45 minute session per week, but I have access to a fully equipped gym. My main goal is to pack on serious muscle size, specifically targeting my shoulders and traps, and I'm ready for intense, short-term programs that utilize shock techniques like supersets and drop sets."""
"""As an advanced lifter, I need an intense, high-volume shoulder workout to finally build up my lagging deltoids. I can only commit one day a week for a 45-60 minute session, but I have full access to barbells, dumbbells, and machines.""","""I'm an advanced lifter with a strong foundation, but my deltoids are a lagging muscle group I'm determined to bring up to speed. I'm seeking a high-volume, high-intensity shoulder-focused program I can commit to once a week for 6 weeks, ideally lasting 45-60 minutes and utilizing a well-equipped gym with barbells, dumbbells, and machines.""","As an advanced lifter, I'm looking for a high-intensity, high-volume program to specifically build muscle and bring up my lagging deltoids over the next six weeks. I have access to a full gym and can dedicate 45-60 minutes once a week to a targeted shoulder workout."
"""I'm an intermediate lifter looking for an effective 8-week program to build significant muscle, specifically focusing on developing strong, capped shoulders. My main constraint is time, so I need a plan that only requires one gym session per week, lasting 45-75 minutes, and I have access to a full gym with barbells, cables, dumbbells, and machines.""","""I'm an intermediate lifter aiming to build significant muscle and achieve 'rock solid' shoulders, specifically looking for an 8-week program to target this area. My main constraint is time, as I can only dedicate one day a week to this workout, but I have access to a fully equipped gym with barbells, cables, dumbbells, and machines.""","""As an intermediate lifter, I'm really looking to improve my shoulder development and achieve that 'capped' look. My biggest constraint is time; I can only dedicate one focused gym session per week, lasting 45-75 minutes, but I have access to a fully equipped gym."""
"""I'm a complete beginner looking to significantly increase my strength over the next few months. I can commit to 3 days a week at a gym with full equipment (barbells, dumbbells, cables, machines) and need a structured 10-week program to guide me.""","""I'm a complete beginner to strength training and want to significantly increase my strength over the next few months. I can consistently commit to 3 days a week at a gym with access to barbells, dumbbells, cables, and machines, and I'm looking for a structured 10-week program to guide me.""","""I'm a complete beginner looking for a structured 10-week program to significantly increase my strength. I can commit 3 days a week and have access to a full gym with barbells, dumbbells, cables, and machines, so a Push/Pull/Legs split would work great for me."""
"""As an advanced lifter, I'm seeking an intensive 8-week program specifically designed to maximize my strength gains. I have full access to a well-equipped gym with barbells, dumbbells, cables, and machines, and can consistently commit to 5 training days per week.""","""I'm an advanced lifter seeking an intensive 8-week program specifically designed to significantly increase my strength. I can commit to training 5 days a week and have full access to a well-equipped gym, including barbells, dumbbells, cables, and machines.""","""I'm an advanced lifter seeking a challenging 8-week program focused on significantly increasing my overall strength. I have full access to a well-equipped gym and can commit to training 5 days per week, ready for a serious strength-building workout."""
"""I'm a beginner looking for a structured 10-week program to significantly increase my overall strength, with a specific focus on boosting my bench press. I can commit to training 4 days a week and have access to a well-equipped gym with barbells, dumbbells, cables, and machines.""","""As a complete beginner, I'm really motivated to boost my strength, particularly my bench press, and need a clear 10-week plan to follow. I can dedicate 4 days a week and have access to a gym with all the necessary equipment like barbells, dumbbells, cables, and machines.""","""As a beginner lifter, I'm eager to significantly increase my overall strength, with a specific focus on boosting my bench press. I'm looking for a clear, structured 10-week program that I can commit to 4 days a week, utilizing a full gym with barbells, dumbbells, cables, and machines."""
"""As a complete beginner, I'm looking for an 8-week program to significantly increase my overall strength. I have access to a well-equipped gym with barbells, dumbbells, cables, and machines, and can commit to training 5 days a week.""","""I'm a complete beginner who wants to significantly increase my strength over the next 8 weeks. I have access to a full gym with barbells, dumbbells, cables, and machines, and can commit to working out 5 days a week.""","""I'm a complete beginner eager to build foundational strength and am looking for an 8-week program that can guide me. I can commit to working out 5 days a week and have access to a full gym equipped with barbells, dumbbells, cables, and machines."""
